epoch,train_loss,train_acc,val_loss,val_acc,val_auc,val_ece,epoch_time_sec
1,0.5932280092595894,0.719838572642311,0.5490958560969084,0.7423664122137404,0.7569837189374465,0.12716149737816734,1.9799985885620117
2,0.4001292470864755,0.8183942225998301,0.25121655474409804,0.8835877862595419,0.965305150909264,0.033938864693898715,2.594158887863159
3,0.20899164523476751,0.9175870858113849,0.1649170429765723,0.9389312977099237,0.9831095877368371,0.03749760115014403,1.999964714050293
4,0.1677841188650366,0.9373406966864911,0.14778271783854216,0.9446564885496184,0.9850328477577834,0.027180694845213606,2.003894090652466
5,0.155708547330247,0.93946474086661,0.12540973117219584,0.9522900763358778,0.9875654574883366,0.019454566895151307,2.034358024597168
