latent_dim,variant,model,params,acc,auc,f1,precision,recall,specificity,ece
8,latent_only,ablation_latent_only_ld8,17442,0.8685897435897436,0.9250273942581635,0.9002433090024331,0.8564814814814815,0.9487179487179487,0.7350427350427351,0.05955079128631417
8,latent_quantum_hybrid,ablation_latent_quantum_hybrid_ld8,17486,0.8477564102564102,0.9310541310541312,0.8878394332939787,0.8227571115973742,0.9641025641025641,0.6538461538461539,0.031851362460889876
8,latent_random_projection,ablation_latent_random_projection_ld8,17474,0.8125,0.9240302432610125,0.8683914510686164,0.7735470941883767,0.9897435897435898,0.5170940170940171,0.10963254276280984
16,latent_only,ablation_latent_only_ld16,30210,0.8525641025641025,0.9249506903353057,0.8925233644859814,0.8197424892703863,0.9794871794871794,0.6410256410256411,0.06954885014177611
16,latent_quantum_hybrid,ablation_latent_quantum_hybrid_ld16,30286,0.8621794871794872,0.9231207538899846,0.8948655256723717,0.8551401869158879,0.9384615384615385,0.7350427350427351,0.03002448028359469
16,latent_random_projection,ablation_latent_random_projection_ld16,30274,0.8653846153846154,0.9245123822046899,0.8931297709923665,0.8863636363636364,0.9,0.8076923076923077,0.05163460306805337
32,latent_only,ablation_latent_only_ld32,56130,0.8509615384615384,0.9245562130177514,0.892485549132948,0.8126315789473684,0.9897435897435898,0.6196581196581197,0.09279894908496104
32,latent_quantum_hybrid,ablation_latent_quantum_hybrid_ld32,56270,0.8541666666666666,0.9189842209072978,0.8915375446960667,0.8329621380846325,0.958974358974359,0.6794871794871795,0.06120801156458376
32,latent_random_projection,ablation_latent_random_projection_ld32,56258,0.8461538461538461,0.9324950690335306,0.8894009216589862,0.8075313807531381,0.9897435897435898,0.6068376068376068,0.10090282931998493
