latent_dim,variant,model,params,acc,auc,f1,precision,recall,specificity,ece
8,latent_quantum_hybrid,ablation_latent_quantum_hybrid_ld8,17486,0.8477564102564102,0.9310541310541312,0.8878394332939787,0.8227571115973742,0.9641025641025641,0.6538461538461539,0.031851362460889876
16,latent_quantum_hybrid,ablation_latent_quantum_hybrid_ld16,30286,0.8621794871794872,0.9231207538899846,0.8948655256723717,0.8551401869158879,0.9384615384615385,0.7350427350427351,0.03002448028359469
32,latent_quantum_hybrid,ablation_latent_quantum_hybrid_ld32,56270,0.8541666666666666,0.9189842209072978,0.8915375446960667,0.8329621380846325,0.958974358974359,0.6794871794871795,0.06120801156458376
