model,acc,f1,precision,recall,specificity,auc,ece
baseline_cnn,0.8076923076923077,0.8660714285714286,0.766798418972332,0.9948717948717949,0.49572649572649574,0.9226440937979399,0.1249705653858538
latent_only,0.8317307692307693,0.8805460750853242,0.7914110429447853,0.9923076923076923,0.5641025641025641,0.9169953977646286,0.11445915556172485
latent_quantum_hybrid,0.8541666666666666,0.8940628637951106,0.8187633262260128,0.9846153846153847,0.6367521367521367,0.9222879684418146,0.08696702931625531
baseline_cnn_temp_scaled,0.8076923076923077,0.8660714285714286,0.766798418972332,0.9948717948717949,0.49572649572649574,0.9226495726495726,0.12323779456477124
latent_only_temp_scaled,0.8317307692307693,0.8805460750853242,0.7914110429447853,0.9923076923076923,0.5641025641025641,0.9169899189129959,0.11762834516897178
latent_quantum_hybrid_temp_scaled,0.8541666666666666,0.8940628637951106,0.8187633262260128,0.9846153846153847,0.6367521367521367,0.9222879684418146,0.10410928677316786
latent_quantum_hybrid_mc_dropout,0.8493589743589743,0.8906976744186047,0.8148936170212766,0.982051282051282,0.6282051282051282,0.9222550953320184,0.07284641192437936
